3049	5151	13.49
3462	6820	13.95
6208	5508	10.09
4337	7236	10.74
6690	8160	10.11
3400	5919	12.21
3314	4839	15.37
3270	6317	11.04
5592	6657	13.72
4281	6078	13.97
6845	6529	10.01
5455	7768	27.40
5692	6529	10.41
6179	6374	10.44
6989	5881	10.02
4997	8676	18.70
4227	6350	11.28
2798	8434	10.08
4504	8024	13.92
5498	6686	13.11
6985	5761	10.02
4828	6605	168.39
3799	5500	14.28
4708	6178	18.35
6110	6235	10.83
6304	5700	10.08
3736	6697	22.52
6067	8168	11.59
4843	8354	10.96
2627	5205	10.28
2821	6626	17.66
4385	7905	11.96
3151	8323	11.00
6634	8017	10.25
6084	5782	10.14
3100	9161	10.69
3397	5807	10.83
6817	6037	10.03
2706	5616	13.56
3394	7956	15.90
5003	9130	10.32
3423	4964	13.14
5923	7191	10.42
2975	7607	88.48
5488	8132	19.53
6055	6495	10.13
5223	6045	23.86
4404	6863	15.84
3642	4807	11.12
5608	4976	10.17
6663	5455	10.09
4689	7423	14.99
3126	5808	10.11
6946	5439	10.02
3758	8306	15.67
6610	7153	10.15
6803	4863	10.03
4187	7321	10.46
6398	6213	10.27
5641	8271	10.57
6018	6276	10.18
4989	7567	53.58
5020	4905	10.28
4685	7587	13.45
4295	8807	10.68
3455	4973	10.33
4443	6528	24.85
6794	6252	10.44
6749	4961	10.34
5923	5283	10.32
6841	5347	10.04
6361	6691	10.38
4786	5535	14.30
4003	8666	12.14
6790	6202	10.33
2751	5720	10.75
6174	6195	10.84
3755	8983	10.54
3757	7068	11.49
3549	7591	137.35
4616	9103	10.27
6944	6046	10.12
6150	5531	10.03
5218	7955	14.99
5873	7414	12.38
5166	8001	11.32
6768	5729	10.05
6533	6574	10.08
6543	6417	10.20
4525	8288	15.03
2837	6456	12.49
4065	5038	37.48
3539	7676	31.87
5798	5002	10.06
2927	5021	11.88
4948	6060	12.57
5616	9179	10.28
5956	7415	11.26
3286	5698	11.47
6184	6683	10.46
4344	5863	18.77
5212	7981	29.99
5796	4809	11.14
2850	8711	10.26
3118	4920	10.71
4923	7129	17.69
4377	5933	13.58
3430	5281	10.41
3002	5068	11.09
5434	9133	10.32
3326	7028	13.34
6010	5094	11.79
4562	8886	10.48
6793	8695	10.18
5553	4923	10.22
4836	7777	11.97
3565	6608	15.60
3312	6584	12.56
4282	7478	10.10
5449	7821	18.09
4365	7137	11.45
6712	8970	10.03
3347	5446	10.57
4551	6351	17.31
2672	6223	11.44
6744	8483	10.01
3098	7608	26.06
3123	6168	10.80
6180	7453	10.16
6221	8094	12.01
3182	5008	11.41
6335	7679	10.35
6966	7324	10.03
5700	7053	11.70
2692	8251	10.16
4338	8689	10.59
6557	8125	10.12
4423	7517	10.33
4698	7285	18.90
6002	8926	14.16
6262	7800	11.03
3012	8218	11.05
5810	6677	10.79
3739	8951	11.05
4334	8159	12.61
5025	5313	21.11
5339	4956	10.93
3045	6219	10.21
2986	8832	10.17
6179	4943	10.24
3258	8828	10.53
6931	8398	10.04
4862	4941	12.43
2976	5902	10.68
3565	8029	21.48
3093	9076	10.43
4438	5936	16.46
4686	4942	12.04
3524	5174	10.20
5344	9070	10.86
5673	6415	10.57
4162	8470	11.22
4988	7566	43.34
4619	5988	14.02
4277	7831	12.57
3745	8533	11.77
3154	5515	10.23
3771	7197	11.15
5438	6186	10.59
5999	6597	10.07
3887	9100	11.74
6837	7021	10.14
5372	5365	11.12
2796	7461	16.85
5416	9189	10.69
4104	5583	25.04
4732	8735	10.10
3871	7556	15.16
4639	8281	11.80
6138	7880	10.59
3168	7748	11.22
4566	6520	68.73
6953	9073	10.01
4407	8531	10.22
2743	7877	22.45
5357	8312	16.42
3398	8848	10.19
3174	8288	11.43
4200	5464	16.78
6551	8291	10.12
4984	8132	41.81
5500	6278	10.12
4849	8365	14.43
3316	7315	10.65
4447	8959	10.03
5129	6994	15.55
6119	8978	10.22
4593	8837	10.42
6931	6000	10.02
5633	6453	10.34
4966	5082	11.85
6896	8272	10.02
5112	7581	19.47
